Year,Movie,Bond,Director,Composer,Writer,Cinematographer,Depicted_Film_Loc,Shooting_Loc,Bond_Car_MFG,Bond_Girl_Nat,US_Gross,US_Adj,World_Gross,World_Adj,Budget,Budget_Adj,Film_Length,Avg_User_IMDB,Avg_User_Rtn_Tom,Conquests,Martinis,BJB,Kills_Bond,Kills_Others,Top_100,Video_Game
1979,Moonraker,Roger Moore,Lewis Gilbert,John Barry,Christopher Wood,Jean Tournier,"Great Britain, United States, Italy, Brazil, Russia","England, France, Italy, United States, Brazil, Guatemala",Lotus,"American, French, Moroccan",70300000,224811,210300000,672514,31000,99134,126,6.2,5.7,3,1,1,12,69,0,0
1981,For Your Eyes Only,Roger Moore,John Glen,Bill Conti,Michael G. Wilson & Richard Maibaum,Alan Hume,"Great Britain, Russia, Spain, Italy, Greece, Albania","England, Italy, Malta, Greece",Citroën,"French, Australian",54800000,139964,195300000,498812,28000,71514,127,6.8,6.3,2,0,2,18,36,1,0
1983,Octopussy,Roger Moore,John Glen,John Barry,"George MacDonald Fraser, Michael G. Wilson & Richard Maibaum",Alan Hume,"Great Britain, India, Russia, Germany","England, West Berlin, India",Bajaj,"Sweedish, English",67900000,158274,187500000,437059,27500,64102,131,6.5,5.3,2,0,1,15,43,1,0
1985,A View to a Kill,Roger Moore,John Glen,John Barry,Michael G. Wilson & Richard Maibaum,Alan Hume,"Russia, Great Britain, France, United States","England, Switzerland, Iceland, France, United States",Rolls Royce,"American, Jamaican, Sweedish, Nigerian",50327960,108592,152627960,329322,30000,64730,131,6.2,4.7,4,0,2,5,57,1,0
1987,The Living Daylights,Timothy Dalton,John Glen,John Barry,Michael G. Wilson & Richard Maibaum,Alec Mills,"Gibraltar, Great Britain, Slovakia, Austria, Morocco, Afghanistan, Pakistan","England, Germany, Austria, Italy, Morocco",Rolls Royce,"Dutch, American",51185000,104608,191200000,390758,40000,81749,130,6.7,6.3,2,2,1,13,29,0,0
1989,License to Kill,Timothy Dalton,John Glen,Michael Kamen,Michael G. Wilson & Richard Maibaum,Alec Mills,"United States, Bahamas, Great Britain","Mexico, United States",Aston Martin,"American, American",34667015,64907,156167015,292392,42000,78637,133,6.5,6,2,1,1,10,13,0,1
1995,GoldenEye,Pierce Brosnan,Martin Campbell,Éric Serra,"Michael France, Jeffrey Caine, Kevin Wade & Bruce Feirstein",Phil Méheux,"Russia, Monaco, France, England, United States, Cuba","England, France, Monaco, Switzerland, Russia, Puerto Rico",BMW,"Polish, Dutch",106429941,162135,356429941,542985,60000,91404,130,7.2,6.9,2,1,1,47,25,0,1
1997,Tomorrow Never Dies,Pierce Brosnan,Roger Spottiswoode,David Arnold,Bruce Feirstein,Robert Elswit,"Russia, England, Germany, Vietnam","England, France, Germany, Thailand",Aston Martin,"Malaysian, American, Danish",125304276,181254,339504276,491098,110000,159117,119,6.4,6,3,1,1,30,24,0,1
1999,The World Is Not Enough,Pierce Brosnan,Michael Apted,David Arnold,"Neal Purvis, Robert Wade & Bruce Feirstein",Adrian Biddle,"Spain, England, Scotland, Kazakhstan, Azerbaijan, Turkey, North Korea, South Korea","England, Scotland, France, Spain, Turkey, Azerbaijan",BMW,"American, French, English",126930660,176885,361730660,504091,135000,188130,128,6.3,5.7,3,1,2,27,43,0,1
2002,Die Another Day,Pierce Brosnan,Lee Tamahori,David Arnold,Neal Purvis and Robert Wade,David Tattersall,"South Korea, Hong Kong, Cuba, England, Iceland","England, Spain, Iceland, Norway, United States",Aston Martin,"American, Filipino",160942139,207700,431942139,557433,142000,183255,133,6,6.1,2,2,1,31,20,1,0
2006,Casino Royale,Daniel Craig,Martin Campbell,David Arnold,"Neal Purvis, Robert Wade & Paul Haggis",Phil Méheux,"Czech Republic, Pakistan, Uganda, Madagascar, Bahamas, England, United States, Montenegro, Italy","England, Italy, Czech republic, Bahamas, United States",Aston Martin,"French, Italian",167365000,192740,596365000,686784,102000,117465,144,7.9,7.8,2,3,1,11,11,1,0
2008,Quantum of Solace,Daniel Craig,Marc Forster,David Arnold,Paul Haggis and Neal Purvis and Robert Wade,Roberto Schaefer,"Italy, England, Haiti, Austria, Bolivia, Russia","England, Italy, Spain, Panama, Mexico, Chile, Austria",Aston Martin,English,169368427,182633,591692078,638035,230000,248014,106,6.7,6.1,1,6,0,16,15,1,1
2012,Skyfall,Daniel Craig,Sam Mendes,Thomas Newman,"Neal Purvis, Robert Wade & John Logan",Roger Deakins,"Turkey, England, China, Macau, Japan, Scotland","England, Scotland, Turkey, China",Aston Martin,"French, Greek, English",304360277,307770,1108561108,1120980,200000,202240,143,7.8,8.2,3,1,1,26,26,1,0
2015,Spectre,Daniel Craig,Sam Mendes,Thomas Newman,"John Logan & Neal Purvis, Robert Wade & Jez Butterworth",Hoyte van Hoytema,"Mexico, England, Italy, Austria, Morocco, Vatican City","England, Austria, Italy, Vatican City, Mexico, Morocco",Aston Martin,"French, Italian, Mexican",200074175,196647,879620923,864553,245000,240803,148,6.8,6.4,3,1,1,30,205,1,0
